iter	Passed	Remaining
839	4774	909
840	4779	903
841	4785	897
842	4790	892
843	4796	886
844	4801	880
845	4807	875
846	4812	869
847	4817	863
848	4823	857
849	4828	852
850	4834	846
851	4839	840
852	4845	834
853	4850	829
854	4855	823
855	4861	817
856	4866	812
857	4871	806
858	4877	800
859	4882	794
860	4888	789
861	4893	783
862	4898	777
863	4904	771
864	4909	766
865	4915	760
866	4920	754
867	4925	749
868	4931	743
869	4936	737
870	4941	731
871	4947	726
872	4952	720
873	4958	714
874	4963	709
875	4969	703
876	4974	697
877	4979	691
878	4985	686
879	4990	680
880	4996	674
881	5001	669
882	5007	663
883	5012	657
884	5018	652
885	5023	646
886	5028	640
887	5034	634
888	5039	629
889	5044	623
890	5050	617
891	5055	612
892	5061	606
893	5066	600
894	5072	595
895	5077	589
896	5083	583
897	5089	578
898	5094	572
899	5100	566
900	5105	560
901	5111	555
902	5116	549
903	5122	543
904	5127	538
905	5132	532
906	5138	526
907	5143	521
908	5149	515
909	5154	509
910	5160	504
911	5165	498
912	5170	492
913	5176	487
914	5181	481
915	5187	475
916	5192	470
917	5198	464
918	5203	458
919	5209	453
920	5214	447
921	5220	441
922	5226	435
923	5231	430
924	5236	424
925	5242	418
926	5247	413
927	5253	407
928	5258	401
929	5263	396
930	5269	390
931	5274	384
932	5280	379
933	5285	373
934	5291	367
935	5296	362
936	5302	356
937	5307	350
938	5312	345
939	5318	339
940	5323	333
941	5329	328
942	5334	322
943	5339	316
944	5345	311
945	5351	305
946	5356	299
947	5361	294
948	5366	288
949	5372	282
950	5377	277
951	5383	271
952	5388	265
953	5394	260
954	5399	254
955	5404	248
956	5410	243
957	5415	237
958	5420	231
959	5426	226
960	5431	220
961	5437	214
962	5442	209
963	5447	203
964	5453	197
965	5458	192
966	5464	186
967	5469	180
968	5474	175
969	5479	169
970	5485	163
971	5490	158
972	5496	152
973	5502	146
974	5507	141
975	5513	135
976	5518	129
977	5523	124
978	5529	118
979	5534	112
980	5540	107
981	5545	101
982	5551	96
983	5556	90
984	5562	84
985	5567	79
986	5572	73
987	5577	67
988	5583	62
989	5589	56
990	5594	50
991	5599	45
992	5605	39
993	5610	33
994	5616	28
995	5621	22
996	5627	16
997	5632	11
998	5638	5
999	5643	0
